,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
166,0.819,0.827,1,-3.032,1,0.182,0.0765,0.0,0.206,0.744,160.143,246760,4,0,2LRI27CycRpNInbdM8AFLI
167,0.644,0.651,11,-6.279,0,0.0646,0.226,0.00011,0.105,0.583,152.078,176842,4,0,6pu2BLOwSrsLIecnqGU64m
168,0.755,0.76,6,-4.424,1,0.124,0.115,0.0,0.141,0.709,176.013,245787,4,0,44sLbbgnf3jDtZd2nkjd7e
169,0.752,0.621,4,-6.119,0,0.0888,0.247,1.31e-06,0.0953,0.432,83.95,180714,4,0,3YLIOwJrc2qPpPpmTi1IJ2
170,0.717,0.486,5,-9.498,0,0.0325,0.696,0.0812,0.133,0.319,111.987,171429,4,1,7G4vD5CCmiVt5H59YEywFx
171,0.78,0.647,1,-5.438,1,0.0818,0.291,0.0147,0.137,0.731,170.017,220133,4,0,67yoTcCOwAROr45LtoPirZ
172,0.731,0.852,6,-5.571,0,0.275,0.188,0.0,0.0838,0.608,168.118,154126,4,0,1sO0Y7fVn6JXqgd5lOTlsx
173,0.734,0.638,2,-6.364,1,0.213,0.117,0.0,0.138,0.73,158.019,142785,4,0,0ahGF0pnErz122RjmZGVjY
174,0.571,0.597,0,-7.246,0,0.137,0.797,0.0136,0.104,0.62,169.858,163765,4,1,6r1c5qESJcjOqZSeCSQ5cW
175,0.758,0.431,8,-9.786,1,0.114,0.192,8.01e-06,0.077,0.469,113.938,231579,4,1,3nHnCs2AQgF8dQWHFQmQgY
176,0.773,0.64,3,-4.777,0,0.207,0.119,0.0,0.17,0.605,170.067,228720,4,0,2MaYHbpwybBOm9CrDBfChl
177,0.857,0.828,4,-4.998,0,0.134,0.0198,0.000125,0.096,0.844,91.993,154288,4,0,4xB5KSAuaVZI4LCODqSmcc
178,0.902,0.677,11,-5.511,1,0.105,0.0708,0.00339,0.0888,0.785,112.047,177026,4,0,3STh5g7XXL9ExBZRe8X7W2
179,0.824,0.605,10,-6.359,0,0.0957,0.263,0.000371,0.907,0.541,93.979,199149,4,0,5eie0fAYGHItXLGXmmJyCs
180,0.72,0.727,5,-7.051,0,0.0769,0.29,1.2e-06,0.101,0.873,159.857,204066,4,0,5LR4MmbgcV9cPXXocaM4Fw
181,0.824,0.743,1,-4.24,1,0.108,0.161,0.0,0.0607,0.581,99.976,246039,4,0,479fjceNVcwDiMO9h4Zkc2
182,0.74,0.673,0,-2.872,1,0.102,0.232,4.45e-06,0.12,0.698,180.026,198592,4,0,1bmm8qIp60aMkozpkPnxNM
183,0.709,0.595,0,-3.349,1,0.099,0.653,0.000253,0.134,0.747,174.004,178266,4,0,2B4nQ6yvVVBMqfgOrYtubb
184,0.765,0.655,11,-6.544,1,0.124,0.468,0.0,0.359,0.687,159.879,175500,4,0,0GK6WLOe8I8HhAuCJKkO3s
